1201      648790      735260     -230980      788550  
1818      113860      595800     -771380      679190
1202      241050      586260     -644640      661950
1204      578030      223960     -327700      277590
1203      256140      187820     -648360      260160
1205      606230     -104550     -315660      -51440
1206      278340     -565020     -660020     -487200
1052      179220     -757800     -765430     -670400
410      478510     -637940     -466930     -569840
399      975930     -700850       16690     -658940
192      917380      -16160       -4600       18540
370      803150      758570      -76440      802960
1118       94870      709670     -785850      795830
194       35030      -34550     -877140       50930
-398       19790     -843710     -925660     -745370
